sample_idx	IID	FID	dominant_component_broad	q_max_broad	best_embedding_axis1	best_embedding_method	sample_order_rank
1304	AUCD_31H04	AUCD	2	0.580809	-0.77665496	PhyloAE	974
196	BORD_28463	BORD	2	0.580417	-0.90061885	PhyloAE	975
1328	RHOD_42D06	RHOD	2	0.580318	-1.2009133	PhyloAE	976
1052	BORT_25438	BORT	2	0.578379	-1.533392	PhyloAE	977
1314	BERD_34H11	BERD	2	0.577961	-0.76588774	PhyloAE	978
1302	COOK_34324	COOK	2	0.577681	3.8168516	PhyloAE	979
1087	RATT_28508	RATT	2	0.577587	-0.58921117	PhyloAE	980
1315	TIBT_35G02	TIBT	2	0.576032	-1.4774348	PhyloAE	981
857	BoC_00GT64	BORD	2	0.575773	-0.9027635	PhyloAE	982
795	NEAP_23550	NEAP	2	0.575531	-1.7928878	PhyloAE	983
859	BoC_00GT66	BORD	2	0.575467	-0.8753883	PhyloAE	984
486	CARD_07328	CARD	2	0.574683	-1.3495805	PhyloAE	985
1191	WFOX_12F05	WFOX	2	0.574437	-2.070847	PhyloAE	986
846	BoT_00LU66	BORT	2	0.5743	-1.5405926	PhyloAE	987
796	NEAP_23564	NEAP	2	0.574122	-1.7916676	PhyloAE	988
1322	BERD_35H12	BERD	2	0.573928	-0.7687718	PhyloAE	989
1091	KERY_03174	KERY	2	0.573798	-1.5268179	PhyloAE	990
847	BoT_00LU67	BORT	2	0.572923	-1.5375817	PhyloAE	991
489	CARD_07976	CARD	2	0.572478	-1.3503726	PhyloAE	992
1281	TIBT_26G12	TIBT	2	0.571612	-1.4803051	PhyloAE	993
572	AUSS_07314	AUSS	2	0.571336	-1.0465904	PhyloAE	994
1267	WFOX_18A04	WFOX	2	0.570497	-2.0745485	PhyloAE	995
793	NEAP_23551	NEAP	2	0.570029	-1.7947041	PhyloAE	996
856	BoC_00GT62	BORD	2	0.569765	-0.90974385	PhyloAE	997
226	BORD_11125	BORD	2	0.569764	-0.88900036	PhyloAE	998
890	TYo_0GT393	YORK	2	0.569667	-0.76770556	PhyloAE	999
146	BORD_27579	BORD	2	0.569246	-0.90796834	PhyloAE	1000
921	FSp_0GT186	FINS	2	0.567738	0.71548253	PhyloAE	1001
1278	BERD_25G02	BERD	2	0.566597	-0.7674202	PhyloAE	1002
1105	KERY_12354	KERY	2	0.565536	-1.5274686	PhyloAE	1003
884	JRT_0GT261	JACK	2	0.565305	-1.3586375	PhyloAE	1004
882	JRT_0GT258	JACK	2	0.564927	-1.3189684	PhyloAE	1005
482	CARD_07670	CARD	2	0.564641	-1.3499546	PhyloAE	1006
1280	TIBT_26F12	TIBT	2	0.564599	-1.4758515	PhyloAE	1007
483	CARD_09283	CARD	2	0.564593	-1.3490553	PhyloAE	1008
1053	BORT_08386	BORT	2	0.563255	-1.5353045	PhyloAE	1009
925	FSp_0GT190	FINS	2	0.562454	0.68493456	PhyloAE	1010
797	NEAP_23554	NEAP	2	0.562122	-1.7967494	PhyloAE	1011
1235	AUCD_15D09	AUCD	2	0.560972	-0.7419106	PhyloAE	1012
27	CANE_24519	CANE_Italy	2	0.560664	-1.5178826	PhyloAE	1013
566	AUSS_13157	AUSS	2	0.559207	-1.0286545	PhyloAE	1014
569	AUSS_28454	AUSS	2	0.558007	-1.0227476	PhyloAE	1015
225	BORD_12713	BORD	2	0.557793	-0.9042007	PhyloAE	1016
1108	SCWT_22617	SCWT	2	0.557703	-1.5687257	PhyloAE	1017
1297	COOK_30388	COOK	2	0.557666	3.6049683	PhyloAE	1018
136	BORD_28461	BORD	2	0.556483	-0.8999762	PhyloAE	1019
794	NEAP_23567	NEAP	2	0.555471	-1.7954465	PhyloAE	1020
923	FSp_0GT188	FINS	2	0.555439	0.73363596	PhyloAE	1021
1298	COOK_36118	COOK	2	0.555197	3.715967	PhyloAE	1022
1113	TIBT_26260	TIBT	2	0.554833	-1.4803047	PhyloAE	1023
920	FSp_0GT185	FINS	2	0.553944	0.6959192	PhyloAE	1024
1299	COOK_36124	COOK	2	0.553722	3.5850034	PhyloAE	1025
487	CARD_07654	CARD	2	0.553354	-1.3447044	PhyloAE	1026
1093	TIBT_03185	TIBT	2	0.553073	-1.4805841	PhyloAE	1027
490	CARD_09284	CARD	2	0.552773	-1.3526558	PhyloAE	1028
488	CARD_07666	CARD	2	0.552503	-1.3580917	PhyloAE	1029
798	NEAP_23555	NEAP	2	0.55244	-1.7916546	PhyloAE	1030
570	AUSS_28465	AUSS	2	0.551805	-1.0295844	PhyloAE	1031
1106	SCWT_20516	SCWT	2	0.551283	-1.5717865	PhyloAE	1032
922	FSp_0GT187	FINS	2	0.551228	0.73135227	PhyloAE	1033
17	SLOU_24408	SLOU_NAfrica	2	0.551219	-0.379885	PhyloAE	1034
926	FSp_0GT191	FINS	2	0.550879	0.72869027	PhyloAE	1035
491	CARD_09285	CARD	2	0.550552	-1.3574957	PhyloAE	1036
568	AUSS_27573	AUSS	2	0.550397	-0.9940185	PhyloAE	1037
1109	SCWT_23325	SCWT	2	0.550282	-1.5740064	PhyloAE	1038
877	JRT_0GT253	JACK	2	0.548598	-1.3601576	PhyloAE	1039
1282	TIBT_26H12	TIBT	2	0.548571	-1.4714466	PhyloAE	1040
564	AUSS_11428	AUSS	2	0.548461	-1.0282247	PhyloAE	1041
929	FSp_0GT194	FINS	2	0.547763	0.7806171	PhyloAE	1042
927	FSp_0GT192	FINS	2	0.547588	0.712237	PhyloAE	1043
1114	KERY_27113	KERY	2	0.547399	-1.5267237	PhyloAE	1044
1107	KERY_21525	KERY	2	0.546606	-1.5228556	PhyloAE	1045
484	CARD_06200	CARD	2	0.546542	-1.3621861	PhyloAE	1046
1296	COOK_23575	COOK	2	0.545621	3.544835	PhyloAE	1047
1279	TIBT_26D12	TIBT	2	0.544905	-1.4729046	PhyloAE	1048
571	AUSS_28472	AUSS	2	0.544264	-1.0365976	PhyloAE	1049
924	FSp_0GT189	FINS	2	0.542149	0.7476729	PhyloAE	1050
928	FSp_0GT193	FINS	2	0.541884	0.7084478	PhyloAE	1051
567	AUSS_27104	AUSS	2	0.540812	-1.0311526	PhyloAE	1052
1152	INCA_Z2F05	INCA	2	0.540469	0.66589636	PhyloAE	1053
1120	TIBT_30324	TIBT	2	0.540266	-1.4838598	PhyloAE	1054
1217	CHIN_14F04	CHIN	2	0.534555	-1.2254739	PhyloAE	1055
