run_id,hidden_dims,lr,lambda_breed,lambda_clade,n_components,seed,target_metric,trustworthiness,silhouette_breed,seed_stability_vs_base,embedding_csv
phyloae_h512x64_lr0p0003_lb1p0_lc0p1_seed789_2d,"(512, 64)",0.0003,1.0,0.1,2,789,euclidean,0.8672983769519665,0.649458088181822,0.5367240089753179,results/embeddings/phyloae_h512x64_lr0p0003_lb1p0_lc0p1_seed789_2d.csv
phyloae_h512x64_lr0p0003_lb1p0_lc0p1_seed1337_2d,"(512, 64)",0.0003,1.0,0.1,2,1337,euclidean,0.8662216575649839,0.6836591090726208,0.5520817751184244,results/embeddings/phyloae_h512x64_lr0p0003_lb1p0_lc0p1_seed1337_2d.csv
phyloae_h512x64_lr0p0003_lb1p0_lc0p1_seed42_3d,"(512, 64)",0.0003,1.0,0.1,3,42,euclidean,0.8989858179200502,0.7397182322714343,1.0,results/embeddings/phyloae_h512x64_lr0p0003_lb1p0_lc0p1_seed42_3d.csv
phyloae_h512x64_lr0p0003_lb1p0_lc0p1_seed123_3d,"(512, 64)",0.0003,1.0,0.1,3,123,euclidean,0.8954143608880754,0.7641831438866068,0.6064821740214411,results/embeddings/phyloae_h512x64_lr0p0003_lb1p0_lc0p1_seed123_3d.csv
phyloae_h512x64_lr0p0003_lb1p0_lc0p1_seed256_3d,"(512, 64)",0.0003,1.0,0.1,3,256,euclidean,0.8906036937235389,0.7596848671051676,0.6116679132385939,results/embeddings/phyloae_h512x64_lr0p0003_lb1p0_lc0p1_seed256_3d.csv
phyloae_h512x64_lr0p0003_lb1p0_lc0p1_seed789_3d,"(512, 64)",0.0003,1.0,0.1,3,789,euclidean,0.9056683921347193,0.7389591313766183,0.612665170780354,results/embeddings/phyloae_h512x64_lr0p0003_lb1p0_lc0p1_seed789_3d.csv
phyloae_h512x64_lr0p0003_lb1p0_lc0p1_seed1337_3d,"(512, 64)",0.0003,1.0,0.1,3,1337,euclidean,0.8859273982848537,0.7362297198057166,0.5971578160059836,results/embeddings/phyloae_h512x64_lr0p0003_lb1p0_lc0p1_seed1337_3d.csv
phyloae_h512x64_lr0p0003_lb1p0_lc1p0_seed42_2d,"(512, 64)",0.0003,1.0,1.0,2,42,euclidean,0.8844360656596187,0.6687736644096175,1.0,results/embeddings/phyloae_h512x64_lr0p0003_lb1p0_lc1p0_seed42_2d.csv
phyloae_h512x64_lr0p0003_lb1p0_lc1p0_seed123_2d,"(512, 64)",0.0003,1.0,1.0,2,123,euclidean,0.8874648749424623,0.684406241791267,0.5947145350286711,results/embeddings/phyloae_h512x64_lr0p0003_lb1p0_lc1p0_seed123_2d.csv
phyloae_h512x64_lr0p0003_lb1p0_lc1p0_seed256_2d,"(512, 64)",0.0003,1.0,1.0,2,256,euclidean,0.8846710738771271,0.6793371546091381,0.5645973572675145,results/embeddings/phyloae_h512x64_lr0p0003_lb1p0_lc1p0_seed256_2d.csv
phyloae_h512x64_lr0p0003_lb1p0_lc1p0_seed789_2d,"(512, 64)",0.0003,1.0,1.0,2,789,euclidean,0.8775446289826265,0.672266523769389,0.5642483171278984,results/embeddings/phyloae_h512x64_lr0p0003_lb1p0_lc1p0_seed789_2d.csv
phyloae_h512x64_lr0p0003_lb1p0_lc1p0_seed1337_2d,"(512, 64)",0.0003,1.0,1.0,2,1337,euclidean,0.8722292994113979,0.645131635971186,0.5657940663176265,results/embeddings/phyloae_h512x64_lr0p0003_lb1p0_lc1p0_seed1337_2d.csv
phyloae_h512x64_lr0p0003_lb1p0_lc1p0_seed42_3d,"(512, 64)",0.0003,1.0,1.0,3,42,euclidean,0.9115294431940778,0.7460595987101409,1.0,results/embeddings/phyloae_h512x64_lr0p0003_lb1p0_lc1p0_seed42_3d.csv
phyloae_h512x64_lr0p0003_lb1p0_lc1p0_seed123_3d,"(512, 64)",0.0003,1.0,1.0,3,123,euclidean,0.908671473083723,0.7414332919640229,0.6477686362503117,results/embeddings/phyloae_h512x64_lr0p0003_lb1p0_lc1p0_seed123_3d.csv
phyloae_h512x64_lr0p0003_lb1p0_lc1p0_seed256_3d,"(512, 64)",0.0003,1.0,1.0,3,256,euclidean,0.9004895213960695,0.7484881952716547,0.6467215158314634,results/embeddings/phyloae_h512x64_lr0p0003_lb1p0_lc1p0_seed256_3d.csv
phyloae_h512x64_lr0p0003_lb1p0_lc1p0_seed789_3d,"(512, 64)",0.0003,1.0,1.0,3,789,euclidean,0.8959035028101944,0.7394389309908543,0.6214410371478435,results/embeddings/phyloae_h512x64_lr0p0003_lb1p0_lc1p0_seed789_3d.csv
