run_id,perplexity,metric,n_components,seed,trustworthiness,silhouette_breed,seed_stability_vs_base,embedding_csv
tsne_cosine_perp15_seed7_3d,15,cosine,3,7,0.9284526911723354,0.7448954313246068,1.0,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_cosine_perp15_seed7_3d.csv
tsne_cosine_perp15_seed42_3d,15,cosine,3,42,0.9312269113818279,0.740502580861374,0.9134380453752183,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_cosine_perp15_seed42_3d.csv
tsne_cosine_perp15_seed99_3d,15,cosine,3,99,0.9297126205825912,0.7419830311153104,0.9192720019945151,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_cosine_perp15_seed99_3d.csv
tsne_cosine_perp15_seed123_3d,15,cosine,3,123,0.9298702920089996,0.7429616722856847,0.9170780354026428,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_cosine_perp15_seed123_3d.csv
tsne_cosine_perp15_seed256_3d,15,cosine,3,256,0.9271163736558559,0.742322411447245,0.9224133632510597,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_cosine_perp15_seed256_3d.csv
tsne_correlation_perp15_seed7_2d,15,correlation,2,7,0.9326500525381685,0.7996846998846875,1.0,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_correlation_perp15_seed7_2d.csv
tsne_correlation_perp15_seed42_2d,15,correlation,2,42,0.9302100729842249,0.7994025818345923,0.9523809523809524,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_correlation_perp15_seed42_2d.csv
tsne_correlation_perp15_seed99_2d,15,correlation,2,99,0.9330757843631687,0.7992670599076676,0.9295437546746449,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_correlation_perp15_seed99_2d.csv
tsne_correlation_perp15_seed123_2d,15,correlation,2,123,0.9326994979939109,0.8002056192656515,0.949887808526552,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_correlation_perp15_seed123_2d.csv
tsne_correlation_perp15_seed256_2d,15,correlation,2,256,0.9331967227111744,0.7995055427752372,0.9338319621042136,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_correlation_perp15_seed256_2d.csv
tsne_correlation_perp15_seed7_3d,15,correlation,3,7,0.9292269698208162,0.7411472558364075,1.0,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_correlation_perp15_seed7_3d.csv
tsne_correlation_perp15_seed42_3d,15,correlation,3,42,0.9302863093008686,0.740181321407236,0.9264023934181002,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_correlation_perp15_seed42_3d.csv
tsne_correlation_perp15_seed99_3d,15,correlation,3,99,0.9289702556933426,0.7423351127407706,0.9284966342557966,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_correlation_perp15_seed99_3d.csv
tsne_correlation_perp15_seed123_3d,15,correlation,3,123,0.9298043014890178,0.7411887706296009,0.9263026676639244,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_correlation_perp15_seed123_3d.csv
tsne_correlation_perp15_seed256_3d,15,correlation,3,256,0.9289417571996644,0.7415027314283716,0.936873597606582,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_correlation_perp15_seed256_3d.csv
tsne_manhattan_perp15_seed7_2d,15,manhattan,2,7,0.9385785361185204,0.8160214986384818,1.0,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_manhattan_perp15_seed7_2d.csv
tsne_manhattan_perp15_seed42_2d,15,manhattan,2,42,0.9377786429783848,0.8156774421863205,0.9441037147843431,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_manhattan_perp15_seed42_2d.csv
tsne_manhattan_perp15_seed99_2d,15,manhattan,2,99,0.9382658116359616,0.815685114098356,0.9524806781351284,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_manhattan_perp15_seed99_2d.csv
tsne_manhattan_perp15_seed123_2d,15,manhattan,2,123,0.9377336753152574,0.8160229159995005,0.9427075542258789,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_manhattan_perp15_seed123_2d.csv
tsne_manhattan_perp15_seed256_2d,15,manhattan,2,256,0.9381952674285745,0.8162114927648157,0.9481924707055599,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_manhattan_perp15_seed256_2d.csv
tsne_manhattan_perp15_seed7_3d,15,manhattan,3,7,0.9477443499174834,0.751231110753995,1.0,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_manhattan_perp15_seed7_3d.csv
tsne_manhattan_perp15_seed42_3d,15,manhattan,3,42,0.9431623158080878,0.7512097303083038,0.8267763649962602,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_manhattan_perp15_seed42_3d.csv
tsne_manhattan_perp15_seed99_3d,15,manhattan,3,99,0.9447859709998417,0.7523521318993371,0.8205933682373474,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_manhattan_perp15_seed99_3d.csv
tsne_manhattan_perp15_seed123_3d,15,manhattan,3,123,0.9454051965921721,0.7519282729610073,0.8388930441286462,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_manhattan_perp15_seed123_3d.csv
