row_type	K	component	cv_error	delta_cv	pct_improvement	delta2_cv	mean_q_max	median_q_max	qmax_p10	qmax_p25	qmax_p75	qmax_p90	mean_h_norm	median_h_norm	mean_k_eff	median_k_eff	adjacent_mean_parent_corr	adjacent_dominant_nmi	adjacent_dominant_preserved_frac	k_cv_min	k_elbow	k_broad_default	k_fine_default	component_mass_mean_q	component_n_q_ge_0_5	component_n_q_ge_0_2	component_rank_within_k	component_embedding_separability	k_rank	is_broad_or_fine_default	embedding_nmi_max
component	14	7.0																						0.0376171398653702	20.0	42.0	10.0	0.9255890655605483	24	0	-1.0
component	14	8.0																						0.0298520964846671	30.0	30.0	12.0	0.973981457108596	24	0	-1.0
component	14	9.0																						0.0668656537023186	23.0	65.0	4.0	0.7601103972491178	24	0	-1.0
component	14	10.0																						0.0999767786088257	43.0	85.0	3.0	0.9794407745905348	24	0	-1.0
component	14	11.0																						0.0559036387434555	20.0	24.0	6.0	0.6074144486692015	24	0	-1.0
component	14	12.0																						0.0469393919222139	31.0	48.0	7.0	0.8655038759689923	24	0	-1.0
component	14	13.0																						0.3372413395661929	297.0	917.0	1.0	0.7115000777665449	24	0	-1.0
component	14	14.0																						0.014132005235602	10.0	10.0	14.0		24	0	-1.0
k_summary	15		0.65157	0.00216	0.3304116378321403	-0.0002599999999999	0.6038783642483171	0.523489	0.3427216	0.412501	0.815489	0.99986	0.4871691565047805	0.5898921997029873	3.0483225361254793	3.06572966558013	0.8808981548538675	0.9194938665700804	0.94104134762634	30.0	10.0	8.0	15.0						2	1	0.5237127780598996
component	15	1.0																						0.0275536185489902	20.0	20.0	14.0	0.9924098398432999	2	1	0.5237127780598996
component	15	2.0																						0.0376873874345549	20.0	43.0	11.0	0.9255890655605483	2	1	0.5237127780598996
component	15	3.0																						0.0565050994764397	20.0	26.0	5.0	0.6074144486692015	2	1	0.5237127780598996
component	15	4.0																						0.0285145901271503	30.0	30.0	13.0	0.973981457108596	2	1	0.5237127780598996
component	15	5.0																						0.1048905691847419	64.0	200.0	2.0	0.9198650602409639	2	1	0.5237127780598996
component	15	6.0																						0.0468777404637247	31.0	48.0	6.0	0.8652300140672233	2	1	0.5237127780598996
component	15	7.0																						0.06994022513089	28.0	66.0	3.0	0.8333413147366636	2	1	0.5237127780598996
component	15	8.0																						0.059625660433807	60.0	91.0	4.0	0.9723569138837883	2	1	0.5237127780598996
component	15	9.0																						0.0301303223635003	10.0	48.0	12.0		2	1	0.5237127780598996
component	15	10.0																						0.0418354622288706	21.0	26.0	10.0	0.9676298145299393	2	1	0.5237127780598996
component	15	11.0																						0.014211866118175	10.0	10.0	15.0		2	1	0.5237127780598996
component	15	12.0																						0.0447722610321615	40.0	45.0	7.0	0.9683843183843184	2	1	0.5237127780598996
component	15	13.0																						0.0429673941660433	20.0	25.0	9.0	0.9325095057034221	2	1	0.5237127780598996
component	15	14.0																						0.3500780942408377	319.0	925.0	1.0	0.7044196930445176	2	1	0.5237127780598996
component	15	15.0																						0.0444097486910994	25.0	61.0	8.0	0.915	2	1	0.5237127780598996
k_summary	16		0.64919	0.0023799999999999	0.3652715748115993	0.0002199999999998	0.590418100972326	0.512253	0.30044	0.372964	0.845704	0.999849	0.4851333639022304	0.5879081147228338	3.2974865039753545	3.2025297176483924	0.906277962807152	0.9135477371531662	0.95893536121673	30.0	10.0	8.0	15.0						23	0	-1.0
component	16	1.0																						0.0217227389678384	10.0	10.0	15.0		23	0	-1.0
